STOPID,STOPNAME,X,Y
XBUS_00004869,XBUS_00004869,22.540511,114.118865
XBUS_00004872,XBUS_00004872,22.539854,114.11901
XBUS_00004873,XBUS_00004873,22.539803,114.119646
XBUS_00004874,XBUS_00004874,22.540486,114.12205
XBUS_00004875,XBUS_00004875,22.540635,114.122012
XBUS_00004876,XBUS_00004876,22.540026,114.12386
XBUS_00004877,XBUS_00004877,22.539725,114.124483
XBUS_00004882,XBUS_00004882,22.541234,114.126613
XBUS_00004883,XBUS_00004883,22.54118,114.126834
XBUS_00004884,XBUS_00004884,22.538702,114.129285
XBUS_00004885,XBUS_00004885,22.539772,114.129208
XBUS_00004886,XBUS_00004886,22.540303,114.13276
XBUS_00004887,XBUS_00004887,22.54041,114.13242
XBUS_00004888,XBUS_00004888,22.541541,114.150711
XBUS_00004889,XBUS_00004889,22.541515,114.149942
XBUS_00004890,XBUS_00004890,22.541076,114.15239
XBUS_00004891,XBUS_00004891,22.542329,114.001338
XBUS_00004892,XBUS_00004892,22.543344,114.00524
XBUS_00004893,XBUS_00004893,22.544172,114.005811
XBUS_00004894,XBUS_00004894,22.544576,114.0102
XBUS_00004895,XBUS_00004895,22.545749,114.010278
XBUS_00004896,XBUS_00004896,22.55245,114.022724
XBUS_00004897,XBUS_00004897,22.543761,114.015294
XBUS_00004898,XBUS_00004898,22.54539,114.013556
XBUS_00004899,XBUS_00004899,22.545496,114.013814
XBUS_00004900,XBUS_00004900,22.54353,114.015787
XBUS_00004901,XBUS_00004901,22.543858,114.021203
XBUS_00004902,XBUS_00004902,22.544366,114.021064
XBUS_00004903,XBUS_00004903,22.546593,114.017459
XBUS_00004904,XBUS_00004904,22.546957,114.017618
XBUS_00004906,XBUS_00004906,22.550982,114.014712
XBUS_00004907,XBUS_00004907,22.551578,114.014684
XBUS_00004908,XBUS_00004908,22.554463,114.015625
XBUS_00004909,XBUS_00004909,22.553765,114.015767
XBUS_00004910,XBUS_00004910,22.552474,114.018935
XBUS_00004911,XBUS_00004911,22.55279,114.018171
XBUS_00004912,XBUS_00004912,22.546834,114.024287
XBUS_00004913,XBUS_00004913,22.529408,114.024186
XBUS_00004914,XBUS_00004914,22.547014,114.024761
XBUS_00004915,XBUS_00004915,22.552706,114.023247
XBUS_00004917,XBUS_00004917,22.542801,114.030902
XBUS_00004918,XBUS_00004918,22.542935,114.03057
XBUS_00004920,XBUS_00004920,22.553056,114.029906
XBUS_00004921,XBUS_00004921,22.552887,114.030039
XBUS_00004922,XBUS_00004922,22.553348,114.033154
XBUS_00004923,XBUS_00004923,22.553574,114.033063
XBUS_00004924,XBUS_00004924,22.557871,114.0313
XBUS_00004925,XBUS_00004925,22.555086,114.032638
XBUS_00004926,XBUS_00004926,22.555023,114.033022
XBUS_00004927,XBUS_00004927,22.551296,114.037706
XBUS_00004928,XBUS_00004928,22.554747,114.035451
XBUS_00004929,XBUS_00004929,22.555091,114.03563
XBUS_00004930,XBUS_00004930,22.555391,114.036888
XBUS_00004931,XBUS_00004931,22.554884,114.037236
XBUS_00004933,XBUS_00004933,22.558198,114.027699
XBUS_00004934,XBUS_00004934,22.560427,114.032645
XBUS_00004935,XBUS_00004935,22.558737,114.036517
XBUS_00004936,XBUS_00004936,22.559773,114.036158
XBUS_00004937,XBUS_00004937,22.56127,114.035777
XBUS_00004938,XBUS_00004938,22.564085,114.037709
XBUS_00004940,XBUS_00004940,22.527679,114.037777
XBUS_00004941,XBUS_00004941,22.544456,114.03594
XBUS_00004942,XBUS_00004942,22.543248,114.039897
XBUS_00004943,XBUS_00004943,22.544122,114.039908
XBUS_00004944,XBUS_00004944,22.545624,114.040823
XBUS_00004945,XBUS_00004945,22.548715,114.038862
XBUS_00004946,XBUS_00004946,22.549079,114.041231
XBUS_00004947,XBUS_00004947,22.549078,114.041452
XBUS_00004949,XBUS_00004949,22.528468,114.045106
XBUS_00004951,XBUS_00004951,22.54619,114.042086
XBUS_00004952,XBUS_00004952,22.546652,114.043833
XBUS_00004953,XBUS_00004953,22.547077,114.045423
XBUS_00004954,XBUS_00004954,22.548281,114.076666
XBUS_00004955,XBUS_00004955,22.546901,114.04577
XBUS_00004956,XBUS_00004956,22.55164,114.037644
XBUS_00004957,XBUS_00004957,22.553581,114.038829
XBUS_00004958,XBUS_00004958,22.553264,114.03899
XBUS_00004959,XBUS_00004959,22.552876,114.040829
XBUS_00004960,XBUS_00004960,22.552524,114.04078
XBUS_00004961,XBUS_00004961,22.557125,114.03763
XBUS_00004964,XBUS_00004964,22.548825,114.045012
XBUS_00004965,XBUS_00004965,22.548651,114.044844
XBUS_00004966,XBUS_00004966,22.553737,114.047055
XBUS_00004968,XBUS_00004968,22.545503,114.049231
XBUS_00004969,XBUS_00004969,22.54557,114.049449
XBUS_00004970,XBUS_00004970,22.547799,114.048346
XBUS_00004971,XBUS_00004971,22.544516,114.053702
XBUS_00004972,XBUS_00004972,22.547893,114.0505
XBUS_00004973,XBUS_00004973,22.548204,114.051069
XBUS_00004974,XBUS_00004974,22.548001,114.051381
XBUS_00004975,XBUS_00004975,22.548289,114.05199
XBUS_00004976,XBUS_00004976,22.548239,114.054233
XBUS_00004977,XBUS_00004977,22.553829,114.046298
XBUS_00004978,XBUS_00004978,22.550909,114.049376
XBUS_00004979,XBUS_00004979,22.55128,114.049142
XBUS_00004980,XBUS_00004980,22.557056,114.047097
XBUS_00004981,XBUS_00004981,22.557547,114.047118
XBUS_00004982,XBUS_00004982,22.555339,114.050296
XBUS_00004983,XBUS_00004983,22.555438,114.050751
XBUS_00004984,XBUS_00004984,22.555895,114.051305
XBUS_00004985,XBUS_00004985,22.555947,114.051028
XBUS_00004986,XBUS_00004986,22.562352,114.037999
XBUS_00004987,XBUS_00004987,22.559326,114.040109
XBUS_00004988,XBUS_00004988,22.562463,114.03819
XBUS_00004989,XBUS_00004989,22.563806,114.041079
XBUS_00004990,XBUS_00004990,22.566561,114.044181
XBUS_00004991,XBUS_00004991,22.563114,114.042522
XBUS_00004992,XBUS_00004992,22.562974,114.043217
XBUS_00004993,XBUS_00004993,22.563463,114.044624
XBUS_00004994,XBUS_00004994,22.563541,114.045278
XBUS_00004995,XBUS_00004995,22.538593,114.037949
XBUS_00004996,XBUS_00004996,22.5667,114.043986
XBUS_00004997,XBUS_00004997,22.567266,114.045836
XBUS_00004998,XBUS_00004998,22.564066,114.046619
XBUS_00004999,XBUS_00004999,22.564565,114.047353
XBUS_00005000,XBUS_00005000,22.564906,114.049249
XBUS_00005001,XBUS_00005001,22.564732,114.049414
XBUS_00005002,XBUS_00005002,22.564718,114.052444
XBUS_00005003,XBUS_00005003,22.565515,114.053904
XBUS_00005004,XBUS_00005004,22.56754,114.046076
XBUS_00005005,XBUS_00005005,22.56706,114.053707
XBUS_00005006,XBUS_00005006,22.568443,114.05233
XBUS_00005007,XBUS_00005007,22.568647,114.052192
XBUS_00005008,XBUS_00005008,22.544729,114.053732
XBUS_00005010,XBUS_00005010,22.544785,114.057352
XBUS_00005011,XBUS_00005011,22.529009,114.05751
XBUS_00005012,XBUS_00005012,22.548478,114.054283
XBUS_00005013,XBUS_00005013,22.548552,114.055147
XBUS_00005014,XBUS_00005014,22.546038,114.056108
XBUS_00005015,XBUS_00005015,22.547336,114.05634
XBUS_00005016,XBUS_00005016,22.548431,114.057857
XBUS_00005017,XBUS_00005017,22.54466,114.059932
XBUS_00005018,XBUS_00005018,22.529167,114.061996
XBUS_00005019,XBUS_00005019,22.54842,114.061533
XBUS_00005020,XBUS_00005020,22.54868,114.061694
XBUS_00005021,XBUS_00005021,22.543494,114.063159
XBUS_00005022,XBUS_00005022,22.543757,114.06295
XBUS_00005023,XBUS_00005023,22.548761,114.063915
XBUS_00005024,XBUS_00005024,22.548563,114.066154
XBUS_00005027,XBUS_00005027,22.525623,114.068164
XBUS_00005028,XBUS_00005028,22.543831,114.067816
XBUS_00005029,XBUS_00005029,22.544822,114.069685
XBUS_00005030,XBUS_00005030,22.547356,114.067736
XBUS_00005031,XBUS_00005031,22.529261,114.069293
XBUS_00005032,XBUS_00005032,22.548683,114.069618
XBUS_00005033,XBUS_00005033,22.548601,114.070532
XBUS_00005034,XBUS_00005034,22.54846,114.06986
XBUS_00005036,XBUS_00005036,22.555745,114.101858
XBUS_00005037,XBUS_00005037,22.564431,114.055291
XBUS_00005038,XBUS_00005038,22.564365,114.058212
XBUS_00005039,XBUS_00005039,22.564547,114.057768
XBUS_00005041,XBUS_00005041,22.559543,114.060284
XBUS_00005042,XBUS_00005042,22.559777,114.060417
XBUS_00005043,XBUS_00005043,22.562693,114.058683
XBUS_00005044,XBUS_00005044,22.564986,114.060578
XBUS_00005045,XBUS_00005045,22.568462,114.05486
XBUS_00005046,XBUS_00005046,22.568277,114.054878
XBUS_00005047,XBUS_00005047,22.568668,114.07254
XBUS_00005048,XBUS_00005048,22.566657,114.059329
XBUS_00005049,XBUS_00005049,22.566659,114.059156
XBUS_00005050,XBUS_00005050,22.568341,114.062507
XBUS_00005051,XBUS_00005051,22.558873,114.063804
XBUS_00005052,XBUS_00005052,22.559066,114.063941
XBUS_00005053,XBUS_00005053,22.565932,114.062413
XBUS_00005054,XBUS_00005054,22.560777,114.067462
XBUS_00005055,XBUS_00005055,22.567062,114.063571
XBUS_00005056,XBUS_00005056,22.567128,114.063789
XBUS_00005057,XBUS_00005057,22.568496,114.062401
XBUS_00005058,XBUS_00005058,22.569958,114.063689
XBUS_00005060,XBUS_00005060,22.569928,114.066303
XBUS_00005061,XBUS_00005061,22.570263,114.063521
XBUS_00005067,XBUS_00005067,22.545043,114.070942
XBUS_00005069,XBUS_00005069,22.548381,114.071141
XBUS_00005071,XBUS_00005071,22.545249,114.075358
XBUS_00005072,XBUS_00005072,22.545473,114.075671
XBUS_00005073,XBUS_00005073,22.548424,114.074764
XBUS_00005074,XBUS_00005074,22.548438,114.0763
XBUS_00005075,XBUS_00005075,22.548281,114.075983
XBUS_00005077,XBUS_00005077,22.555259,114.070889
XBUS_00005078,XBUS_00005078,22.555538,114.070612
XBUS_00005079,XBUS_00005079,22.555339,114.076254
XBUS_00005080,XBUS_00005080,22.555604,114.076648
XBUS_00005081,XBUS_00005081,22.54481,114.079667
XBUS_00005083,XBUS_00005083,22.543244,114.081328
XBUS_00005085,XBUS_00005085,22.543621,114.081084
XBUS_00005086,XBUS_00005086,22.545101,114.081331
XBUS_00005087,XBUS_00005087,22.54541,114.081314
XBUS_00005088,XBUS_00005088,22.5294,114.079124
XBUS_00005089,XBUS_00005089,22.545827,114.081054
XBUS_00005091,XBUS_00005091,22.546477,114.082505
XBUS_00005092,XBUS_00005092,22.548877,114.084044
XBUS_00005093,XBUS_00005093,22.544299,114.084089
XBUS_00005094,XBUS_00005094,22.52937,114.080918
XBUS_00005095,XBUS_00005095,22.548741,114.084357
XBUS_00005097,XBUS_00005097,22.550585,114.082688
XBUS_00005098,XBUS_00005098,22.550453,114.082274
XBUS_00005099,XBUS_00005099,22.555424,114.080952
XBUS_00005100,XBUS_00005100,22.55567,114.080883
XBUS_00005101,XBUS_00005101,22.555459,114.082111
XBUS_00005102,XBUS_00005102,22.555701,114.082141
XBUS_00005103,XBUS_00005103,22.552287,114.086694
XBUS_00005104,XBUS_00005104,22.561088,114.072945
XBUS_00005105,XBUS_00005105,22.57039,114.072705
XBUS_00005106,XBUS_00005106,22.567527,114.077516
XBUS_00005107,XBUS_00005107,22.57006,114.081886
XBUS_00005108,XBUS_00005108,22.544308,114.087683
XBUS_00005111,XBUS_00005111,22.546664,114.089995
XBUS_00005112,XBUS_00005112,22.549043,114.090362
XBUS_00005113,XBUS_00005113,22.548873,114.089954
XBUS_00005115,XBUS_00005115,22.54912,114.094164
XBUS_00005116,XBUS_00005116,22.548938,114.093981
XBUS_00005117,XBUS_00005117,22.552137,114.08655
XBUS_00005120,XBUS_00005120,22.555861,114.092372
XBUS_00005121,XBUS_00005121,22.555653,114.093596
XBUS_00005122,XBUS_00005122,22.542656,114.09647
XBUS_00005123,XBUS_00005123,22.54339,114.096256
XBUS_00005124,XBUS_00005124,22.54445,114.094926
XBUS_00005127,XBUS_00005127,22.546733,114.095456
XBUS_00005128,XBUS_00005128,22.54603,114.096388
XBUS_00005129,XBUS_00005129,22.547395,114.096141
XBUS_00005130,XBUS_00005130,22.549191,114.098679
XBUS_00005131,XBUS_00005131,22.549013,114.099097
XBUS_00005132,XBUS_00005132,22.552394,114.096266
XBUS_00005133,XBUS_00005133,22.555709,114.098541
XBUS_00005134,XBUS_00005134,22.555942,114.098309
XBUS_00005137,XBUS_00005137,22.540649,114.099647
XBUS_00005138,XBUS_00005138,22.540899,114.100585
XBUS_00005139,XBUS_00005139,22.540712,114.101744
XBUS_00005140,XBUS_00005140,22.555972,114.101728
XBUS_00005141,XBUS_00005141,22.560026,114.089352
XBUS_00005142,XBUS_00005142,22.559953,114.089604
XBUS_00005143,XBUS_00005143,22.559013,114.094511
XBUS_00005144,XBUS_00005144,22.55839,114.094593
XBUS_00005146,XBUS_00005146,22.567773,114.089474
XBUS_00005147,XBUS_00005147,22.568343,114.089846
XBUS_00005154,XBUS_00005154,22.558793,114.096078
XBUS_00005156,XBUS_00005156,22.558658,114.09689
XBUS_00005157,XBUS_00005157,22.558909,114.100591
XBUS_00005158,XBUS_00005158,22.562039,114.097068
XBUS_00005160,XBUS_00005160,22.562067,114.099055
XBUS_00005162,XBUS_00005162,22.565119,114.096003
XBUS_00005163,XBUS_00005163,22.565458,114.097451
XBUS_00005164,XBUS_00005164,22.565147,114.098892
XBUS_00005165,XBUS_00005165,22.558751,114.100417
XBUS_00005169,XBUS_00005169,22.562135,114.102998
XBUS_00005170,XBUS_00005170,22.565601,114.100454
XBUS_00005171,XBUS_00005171,22.561251,114.072535
XBUS_00005177,XBUS_00005177,22.543129,114.104833
XBUS_00005179,XBUS_00005179,22.543654,114.104614
XBUS_00005180,XBUS_00005180,22.545405,114.104781
XBUS_00005183,XBUS_00005183,22.545751,114.104554
XBUS_00005184,XBUS_00005184,22.546929,114.104729
XBUS_00005185,XBUS_00005185,22.549541,114.106383
XBUS_00005186,XBUS_00005186,22.549719,114.106465
XBUS_00005187,XBUS_00005187,22.541542,114.109781
XBUS_00005188,XBUS_00005188,22.544821,114.110629
XBUS_00005189,XBUS_00005189,22.550221,114.108615
XBUS_00005191,XBUS_00005191,22.54604,114.110413
XBUS_00005192,XBUS_00005192,22.549677,114.109828
XBUS_00005193,XBUS_00005193,22.551582,114.104413
XBUS_00005194,XBUS_00005194,22.553196,114.104589
XBUS_00005195,XBUS_00005195,22.550705,114.123763
XBUS_00005196,XBUS_00005196,22.558765,114.103394
XBUS_00005197,XBUS_00005197,22.540966,114.102506
XBUS_00005199,XBUS_00005199,22.557942,114.10434
XBUS_00005200,XBUS_00005200,22.557935,114.104551
XBUS_00005201,XBUS_00005201,22.556024,114.121878
XBUS_00005202,XBUS_00005202,22.556024,114.107105
XBUS_00005203,XBUS_00005203,22.550239,114.108199
XBUS_00005204,XBUS_00005204,22.55234,114.109359
XBUS_00005205,XBUS_00005205,22.55253,114.109177
XBUS_00005206,XBUS_00005206,22.550931,114.110407
XBUS_00005207,XBUS_00005207,22.5558,114.10738
XBUS_00005209,XBUS_00005209,22.55398,114.109299
XBUS_00005211,XBUS_00005211,22.557348,114.10909
XBUS_00005212,XBUS_00005212,22.557775,114.109241
XBUS_00005213,XBUS_00005213,22.542329,114.113028
XBUS_00005214,XBUS_00005214,22.545118,114.113093
